Exit code: 0
Wall time: 1 seconds
Output:
representation,condition,n,combined_rate,nonlinear_rate,linear_rate,finite_failures,bounded_failures
R1,null,100,0.0,0.0,0.0,0,0
R1,direct_linear,100,1.0,1.0,1.0,0,0
R1,common_pair,100,1.0,1.0,1.0,0,0
R1,nonlinear_square,100,0.08,1.0,0.08,0,0
R1,nonlinear_tanh,100,1.0,1.0,1.0,0,0
R1,global_common,100,1.0,1.0,1.0,0,0
R2,null,100,0.0,0.01,0.0,0,0
R2,direct_linear,100,1.0,1.0,1.0,0,0
R2,common_pair,100,1.0,1.0,1.0,0,0
R2,nonlinear_square,100,0.04,1.0,0.04,0,0
R2,nonlinear_tanh,100,1.0,1.0,1.0,0,0
R2,global_common,100,1.0,1.0,1.0,0,0
R3,null,100,0.0,0.0,0.0,0,0
R3,direct_linear,100,1.0,1.0,1.0,0,0
R3,common_pair,100,1.0,1.0,1.0,0,0
R3,nonlinear_square,100,0.03,1.0,0.02,0,0
R3,nonlinear_tanh,100,1.0,1.0,1.0,0,0
R3,global_common,100,1.0,1.0,1.0,0,0
R4,null,100,0.0,0.0,0.0,0,0
R4,direct_linear,100,1.0,1.0,1.0,0,0
R4,common_pair,100,1.0,1.0,1.0,0,0
R4,nonlinear_square,100,0.05,1.0,0.05,0,0
R4,nonlinear_tanh,100,1.0,1.0,1.0,0,0
R4,global_common,100,1.0,1.0,1.0,0,0

